Année	Meilleur film	Durée	Prize
1976	Le Vieux Fusil	1 h 42 min	Cesar
1977	Monsieur Klein	2 h 03 min	Cesar
1978	Providence	1 h 50 min	Cesar
1979	L'Argent des autres	1 h 45 min	Cesar
1980	Tess	2 h 51 min	Cesar
1981	Le Dernier Métro	2 h 11 min	Cesar
1982	La Guerre du feu	1 h 40 min	Cesar
1983	La Balance	1 h 42 min	Cesar
1984	À nos amours	1 h 42 min	Cesar
1985	Les Ripoux	1 h 47 min	Cesar
1986	Trois Hommes et un couffin	1 h 46 min	Cesar
1987	Thérèse	1 h 36 min	Cesar
1988	Au revoir les enfants	1 h 44 min	Cesar
1989	Camille Claudel	2 h 55 min	Cesar
1990	Trop belle pour toi	1 h 31 min	Cesar
1991	Cyrano de Bergerac	2 h 17 min	Cesar
1992	Tous les matins du monde	1 h 55 min	Cesar
1993	Les Nuits fauves	2 h 06 min	Cesar
1994	Smoking / No Smoking	2h 25min / 2h 22min	Cesar
1995	Les Roseaux sauvages	1 h 50 min	Cesar
1996	La Haine	1 h 38 min	Cesar
1997	Ridicule	1 h 42 min	Cesar
1998	On connaît la chanson	2 h 00 min	Cesar
1999	La Vie rêvée des anges	1 h 53 min	Cesar
2000	Vénus Beauté (Institut)	1 h 45 min	Cesar
2001	Le Goût des autres	1 h 52 min	Cesar
2002	Le Fabuleux Destin d'Amélie Poulain	2 h 02 min	Cesar
2003	Le Pianiste	2 h 30 min	Cesar
2004	Les Invasions barbares	1 h 39 min	Cesar
2005	L'Esquive	1 h 57 min	Cesar
2006	De battre mon cœur s'est arrêté	1 h 48 min	Cesar
2007	Lady Chatterley	2 h 48 min	Cesar
2008	La Graine et le Mulet	2 h 31 min	Cesar
2009	Séraphine	2 h 05 min	Cesar
2010	Un prophète	2 h 35 min	Cesar
2011	Des hommes et des dieux	2 h 02 min	Cesar
2012	The Artist	1 h 40 min	Cesar
2013	Amour	2 h 07 min	Cesar
2014	Les Garçons et Guillaume, à table !	1 h 25 min	Cesar
2015	Timbuktu	1 h 37 min	Cesar
2016	Fatima	1 h 19 min	Cesar
2017	Elle	2 h 10 min	Cesar
2018	120 Battements par minute	2 h 23 min	Cesar
2019	Jusqu'à la garde	1 h 33 min	Cesar
2020	Les Misérables	1 h 44 min	Cesar
2021	Adieu les cons	1 h 27 min	Cesar
2022	Illusions perdues	2 h 29 min	Cesar
2023	La Nuit du 12	1 h 54 min	Cesar
2024	Anatomie d'une chute	2 h 32 min	Cesar
