Year	Title	Duration	Prize
1955	Marty	1 h 30 min	Palme
1956	Le Monde du silence	1 h 26 min	Palme
1957	La Loi du Seigneur (Friendly Persuasion)	2 h 17 min	Palme
1958	Quand passent les cigognes (????? ???????)	1 h 35 min	Palme
1959	Orfeu Negro	1 h 47 min	Palme
1960	La dolce vita	2 h 54 min	Palme
1961	Une aussi longue absence	1 h 38 min	Palme
1961	Viridiana	1 h 30 min	Palme
1962	La Parole donnée (O Pagador de Promessas)	1 h 38 min	Palme
1963	Le Guépard (Il Gattopardo)	3 h 05 min	Palme
1964	Les Parapluies de Cherbourg	1 h 31 min	Palme
1965	Le Knack... et comment l'avoir (The Knack ...and How to Get It)	1 h 24 min	Palme
1966	Un homme et une femme	1 h 42 min	Palme
1966	Ces messieurs dames (Signore & signori)	1 h 55 min	Palme
1967	Blow-Up	1 h 51 min	Palme
1969	If....	1 h 51 min	Palme
1970	MASH	1 h 56 min	Palme
1971	Le Messager (The Go-Between)	1 h 56 min	Palme
1972	La classe ouvrière va au paradis (La classe operaia va in paradiso)	2 h 05 min	Palme
1972	L'Affaire Mattei (Il caso Mattei)	1 h 56 min	Palme
1973	La Méprise (The Hireling)	1 h 48 min	Palme
1973	L'Épouvantail (Scarecrow)	1 h 52 min	Palme
1974	Conversation secrète (The Conversation)	1 h 53 min	Palme
1975	Chronique des années de braise (????? ???? ?????)	2 h 57 min	Palme
1976	Taxi Driver	1 h 54 min	Palme
1977	Padre padrone	1 h 54 min	Palme
1978	L'Arbre aux sabots (L'albero degli zoccoli)	3 h 06 min	Palme
1979	Apocalypse Now	2 h 27 min	Palme
1979	Le Tambour (Die Blechtrommel)	2 h 22 min	Palme
1980	Que le spectacle commence (All That Jazz)	2 h 03 min	Palme
1980	Kagemusha, l'Ombre du guerrier (???)	3 h 00 min	Palme
1981	L'Homme de fer (Czlowiek z zelaza)	2 h 33 min	Palme
1982	Missing	2 h 02 min	Palme
1982	Yol, la permission (Yol)	1 h 53 min	Palme
1983	La Ballade de Narayama (????)	2 h 10 min	Palme
1984	Paris, Texas	2 h 25 min	Palme
1985	Papa est en voyage d'affaires (Otac na službenom putu)	2 h 16 min	Palme
1986	Mission (The Mission)	2 h 05 min	Palme
1987	Sous le soleil de Satan	1 h 37 min	Palme
1988	Pelle le Conquérant (Pelle Erobreren)	2 h 30 min	Palme
1989	Sexe, Mensonges et Vidéo (Sex, Lies, and Videotape)	1 h 40 min	Palme
1990	Sailor et Lula (Wild at Heart)	2 h 05 min	Palme
1991	Barton Fink	1 h 56 min	Palme
1992	Les Meilleures Intentions (Den goda viljan)	3 h 02 min	Palme
1993	Adieu ma concubine (????)	2 h 51 min	Palme
1993	La Leçon de piano (The Piano)	2 h 01 min	Palme
1994	Pulp Fiction	2 h 34 min	Palme
1995	Underground (????????)	2 h 47 min	Palme
1996	Secrets et Mensonges (Secrets & Lies)	2 h 16 min	Palme
1997	Le Goût de la cerise (??? ?????...)	1 h 35 min	Palme
1997	L'Anguille (???)	1 h 57 min	Palme
1998	L'Éternité et Un Jour (??a a?????t?ta ?a? µ?a µ??a)	2 h 17 min	Palme
1999	Rosetta	1 h 35 min	Palme
2000	Dancer in the Dark	2 h 20 min	Palme
2001	La Chambre du fils (La stanza del figlio)	1 h 39 min	Palme
2002	Le Pianiste (The Pianist)	2 h 30 min	Palme
2003	Elephant	1 h 21 min	Palme
2004	Fahrenheit 9/11	2 h 02 min	Palme
2005	L'Enfant	1 h 35 min	Palme
2006	Le vent se lève (The Wind That Shakes the Barley)	2 h 07 min	Palme
2007	Quatre mois, trois semaines, deux jours (4 luni, 3 saptamâni ?i 2 zile)	1 h 53 min	Palme
2008	Entre les murs	2 h 08 min	Palme
2009	Le Ruban blanc (Das weiße Band)	2 h 24 min	Palme
2010	Oncle Boonmee, celui qui se souvient de ses vies antérieures (?????????????????)	1 h 54 min	Palme
2011	The Tree of Life	2 h 19 min	Palme
2012	Amour	2 h 07 min	Palme
2013	La Vie d'Adèle	3 h 00 min	Palme
2014	Winter Sleep (Kis Uykusu)	3 h 16 min	Palme
2015	Dheepan	1 h 55 min	Palme
2016	Moi, Daniel Blake (I, Daniel Blake)	1 h 40 min	Palme
2017	The Square	2 h 31 min	Palme
2018	Une affaire de famille (?????)	2 h 01 min	Palme
2018	Le Livre d'image (Palme d'Or Spéciale)	1 h 24 min	Palme
2019	Parasite (???)	2 h 12 min	Palme
2021	Titane	1 h 48 min	Palme
2022	Sans filtre (Triangle of Sadness)	2 h 27 min	Palme
2023	Anatomie d'une chute	2 h 32 min	Palme
2024	Anora	2 h 18 min	Palme
